"cp","minsplit","minbucket","maxdepth","accuracy","kappa","balanced_accuracy","precision_satisfied","recall_satisfied","f1_satisfied","specificity"
0.005,30,10,5,0.639505012531328,0.23137093914143,0.613024950592885,0.582832982720754,0.453985507246377,0.50222226345328,0.772064393939394
0.01,30,10,5,0.641259398496241,0.233142951569362,0.613403738471673,0.587456447491277,0.445652173913043,0.499680540194019,0.781155303030303
0.02,30,10,5,0.660839598997494,0.265000066414719,0.626441040843215,0.648582528582529,0.419927536231884,0.499489815403128,0.832954545454546
5e-04,40,10,5,0.632393483709273,0.205887199075059,0.598672183794466,0.581425339366516,0.398007246376812,0.468887022233591,0.799337121212121
0.001,40,10,5,0.632393483709273,0.205887199075059,0.598672183794466,0.581425339366516,0.398007246376812,0.468887022233591,0.799337121212121
0.002,40,10,5,0.632393483709273,0.205887199075059,0.598672183794466,0.581425339366516,0.398007246376812,0.468887022233591,0.799337121212121
0.005,40,10,5,0.637719298245614,0.224289728171169,0.609055912384717,0.581565844286433,0.43695652173913,0.492226022279908,0.781155303030303
0.01,40,10,5,0.643045112781955,0.235345086764182,0.614260128458498,0.590965219421102,0.441304347826087,0.498697007435103,0.787215909090909
0.02,40,10,5,0.660839598997494,0.265000066414719,0.626441040843215,0.648582528582529,0.419927536231884,0.499489815403128,0.832954545454546
5e-04,60,10,5,0.63765664160401,0.226576607583227,0.610851037549407,0.574407096171802,0.44963768115942,0.497412322032288,0.772064393939394
0.001,60,10,5,0.63765664160401,0.226576607583227,0.610851037549407,0.574407096171802,0.44963768115942,0.497412322032288,0.772064393939394
0.002,60,10,5,0.63765664160401,0.226576607583227,0.610851037549407,0.574407096171802,0.44963768115942,0.497412322032288,0.772064393939394
0.005,60,10,5,0.635870927318296,0.224756687239315,0.609994647562582,0.572740429505135,0.453985507246377,0.50041984082928,0.766003787878788
0.01,60,10,5,0.639442355889724,0.231465257794176,0.613024950592885,0.580376984126984,0.453985507246377,0.502939992559958,0.772064393939394
0.02,60,10,5,0.664411027568922,0.271799982455451,0.629471343873518,0.657813297813298,0.419927536231884,0.502121394350497,0.839015151515151
5e-04,80,10,5,0.637687969924812,0.227743634297002,0.611419219367589,0.574861641626347,0.453804347826087,0.500816760730844,0.769034090909091
0.001,80,10,5,0.637687969924812,0.227743634297002,0.611419219367589,0.574861641626347,0.453804347826087,0.500816760730844,0.769034090909091
0.002,80,10,5,0.637687969924812,0.227743634297002,0.611419219367589,0.574861641626347,0.453804347826087,0.500816760730844,0.769034090909091
0.005,80,10,5,0.635902255639098,0.225841757666522,0.610562829380764,0.572264239028945,0.458152173913043,0.503837428457394,0.762973484848485
0.01,80,10,5,0.637687969924812,0.229337805381927,0.612077980895916,0.577043650793651,0.458152173913043,0.505504095124061,0.766003787878788
0.02,80,10,5,0.664411027568922,0.271799982455451,0.629471343873518,0.657813297813298,0.419927536231884,0.502121394350497,0.839015151515151
5e-04,40,20,5,0.6484335839599,0.250619638621439,0.622305253623188,0.596428988108555,0.466485507246377,0.514241390688039,0.778125
0.001,40,20,5,0.6484335839599,0.250619638621439,0.622305253623188,0.596428988108555,0.466485507246377,0.514241390688039,0.778125
